State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jan,2,3,3,6,5,10,10,16,37,69,100,68,65,49,54,57
Feb,4,2,4,6,4,9,8,13,30,58,73,54,49,45,45,51
Mar,6,4,4,4,6,8,8,14,39,73,84,58,49,53,47,62
Apr,4,2,3,4,6,8,8,14,39,74,85,60,54,51,58,60
May,1,3,4,4,6,7,13,17,36,79,79,59,52,46,51,51
Jun,4,7,3,4,5,6,10,15,35,79,73,64,46,47,52,49
Jul,4,3,4,4,7,11,13,21,37,72,70,62,43,46,50,46
Aug,1,2,3,4,6,10,14,19,40,72,64,53,41,40,43,42
Sep,2,3,3,7,5,7,9,15,31,61,53,42,34,34,35,36
Oct,2,2,3,3,7,6,10,16,28,54,45,39,33,31,37,33
Nov,3,5,2,3,7,5,10,17,30,51,41,39,32,31,34,28
Dec,3,3,3,4,6,5,10,18,35,60,48,41,33,32,36,34
