State,Food,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,Kale,7,6,6,6,7,7,6,7,7,7,8,7
2005,Kale,10,7,8,8,7,8,7,7,7,8,9,7
2006,Kale,9,8,8,8,8,7,8,7,8,9,9,7
2007,Kale,8,8,8,8,7,9,9,9,9,10,10,8
2008,Kale,10,10,10,10,9,11,11,12,11,13,12,11
2009,Kale,13,13,14,12,12,15,14,12,14,16,17,13
2010,Kale,18,17,18,17,17,20,18,16,19,21,21,18
2011,Kale,30,29,30,28,27,30,33,30,32,38,38,36
2012,Kale,53,49,53,50,46,54,52,50,53,53,50,46
2013,Kale,78,72,75,74,71,76,79,74,73,75,75,59
2014,Kale,100,83,85,77,72,75,74,65,61,63,63,53
2015,Kale,86,68,68,61,60,67,66,59,53,56,60,48
2016,Kale,76,62,59,58,56,55,52,47,47,48,45,42
2017,Kale,62,54,54,52,51,52,56,49,45,49,50,43
2018,Kale,60,52,50,50,46,49,50,44,44,43,44,42
2019,Kale,58,48,48,45,42,45,44,40,40,42,43,39
